hk_code,hk_name,a_code,a_name
02068,中铝国际,601068,中铝国际
00991,大唐发电,601991,大唐发电
03369,秦港股份,601326,秦港股份
02016,浙商银行,601916,浙商银行
00895,东江环保,002672,东江环保
01618,中国中冶,601618,中国中冶
00347,鞍钢股份,000898,鞍钢股份
02866,中远海发,601866,中远海发
06196,郑州银行,002936,郑州银行
02880,辽港股份,601880,辽港股份
02009,金隅集团,601992,金隅集团
03750,宁德时代,300750,宁德时代
03986,兆易创新,603986,兆易创新
06809,澜起科技,688008,澜起科技
09980,东鹏饮料,605499,东鹏饮料
06160,百济神州,688235,百济神州
01989,广合科技,001389,广合科技
03200,大族数控,301200,大族数控
02676,纳芯微,688052,纳芯微
02359,药明康德,603259,药明康德
06166,剑桥科技,603083,剑桥科技
01304,峰岹科技,688279,峰岹科技
09995,荣昌生物,688331,荣昌生物
06821,凯莱英,002821,凯莱英
00300,美的集团,000333,美的集团
01772,赣锋锂业,002460,赣锋锂业
00941,中国移动,600941,中国移动
09927,赛力斯,601127,赛力斯
00501,豪威集团,603501,豪威集团
02648,安井食品,603345,安井食品
02692,兆威机电,003021,兆威机电
01276,恒瑞医药,600276,恒瑞医药
01880,中国中免,601888,中国中免
02631,天岳先进,688234,天岳先进
03606,福耀玻璃,600660,福耀玻璃
02318,中国平安,601318,中国平安
00981,中芯国际,688981,中芯国际
09696,天齐锂业,002466,天齐锂业
00470,先导智能,300450,先导智能
03968,招商银行,600036,招商银行
01336,新华保险,601336,新华保险
01088,中国神华,601088,中国神华
03347,泰格医药,300347,泰格医药
02714,牧原股份,002714,牧原股份
01072,东方电气,600875,东方电气
06693,赤峰黄金,600988,赤峰黄金
02579,中伟新材,300919,中伟新材
03898,时代电气,688187,时代电气
02899,紫金矿业,601899,紫金矿业
03288,海天味业,603288,海天味业
06936,顺丰控股,002352,顺丰控股
02601,中国太保,601601,中国太保
01787,山东黄金,600547,山东黄金
02865,钧达股份,002865,钧达股份
02050,三花智控,002050,三花智控
02338,潍柴动力,000338,潍柴动力
01877,君实生物,688180,君实生物
02628,中国人寿,601628,中国人寿
06030,中信证券,600030,中信证券
09611,龙旗科技,603341,龙旗科技
03268,美格智能,002881,美格智能
00763,中兴通讯,000063,中兴通讯
06127,昭衍新药,603127,昭衍新药
00921,海信家电,000921,海信家电
06031,三一重工,600031,三一重工
06680,金力永磁,300748,金力永磁
03759,康龙化成,300759,康龙化成
06690,海尔智家,600690,海尔智家
00914,海螺水泥,600585,海螺水泥
02196,复星医药,600196,复星医药
09981,沃尔核材,002130,沃尔核材
03908,中金公司,601995,中金公司
03993,洛阳钼业,603993,洛阳钼业
00564,中创智领,601717,中创智领
01138,中远海能,600026,中远海能
06613,蓝思科技,300433,蓝思科技
01776,广发证券,000776,广发证券
06655,华新建材,600801,华新建材
00874,白云山,600332,白云山
02465,龙蟠科技,603906,龙蟠科技
00699,均胜电子,600699,均胜电子
06886,华泰证券,601688,华泰证券
09969,诺诚健华,688428,诺诚健华
02208,金风科技,002202,金风科技
00317,中船防务,600685,中船防务
01919,中远海控,601919,中远海控
02611,国泰海通,601211,国泰海通
01171,兖矿能源,600188,兖矿能源
06099,招商证券,600999,招商证券
00638,广和通,300638,广和通
02603,吉宏股份,002803,吉宏股份
01858,春立医疗,688236,春立医疗
01898,中煤能源,601898,中煤能源
